student_id,student_name,grade,school_name,reading_score,math_score,school_type,school_budget
103880842,Travis Martin,9,Sullivan High School,59.0,88.2,Public,961125
45069750,Michael Brown,9,Dixon High School,94.7,73.5,Charter,870334
45024902,Gabriela Lucero,9,Wagner High School,89.0,70.4,Public,846745
62582498,Susan Richardson,9,Silva High School,69.7,80.3,Public,991918
74579444,Cynthia Johnson,9,Montgomery High School,63.5,76.9,Charter,893368
52067716,Thomas Wilson,12,Montgomery High School,75.6,53.4,Charter,893368
112864862,Stephanie Torres,9,Montgomery High School,64.8,76.5,Charter,893368
75984300,Victoria Lewis,10,Campbell High School,65.7,96.1,Charter,960726
76307038,Kristen Torres,12,Campos High School,62.9,90.4,Public,957299
105535412,Ashley Ryan,10,Green High School,80.0,74.8,Charter,832670
60241809,Daniel Washington,11,Wagner High School,68.3,64.6,Public,846745
19432614,Richard Simon,11,Green High School,71.3,63.2,Charter,832670
51438919,Carolyn Hawkins,9,Sullivan High School,49.6,85.4,Public,961125
51224398,Thomas Sexton,11,Bowers High School,82.6,28.2,Public,848324
127147192,Aaron Washington,11,Green High School,68.2,52.2,Charter,832670
62962791,Taylor Nixon,10,Green High School,77.5,48.1,Charter,832670
68272498,Arthur Zuniga,10,Campos High School,71.6,91.3,Public,957299
118221043,Alex Cain,10,Green High School,64.3,60.3,Charter,832670
118847605,Brett Price,10,Woods High School,53.7,58.7,Public,912243
74577349,Casey Mccarthy,10,Turner High School,50.7,49.8,Public,956438
57771502,Chelsea Wilson,9,Green High School,73.7,49.8,Charter,832670
62733755,Sandra Parker,11,Wagner High School,68.0,76.1,Public,846745
89830107,Lauren Aguilar,9,Woods High School,60.3,84.2,Public,912243
23792311,Belinda Andrews,11,Silva High School,88.6,60.6,Public,991918
10848508,Brenda Carey,12,Dixon High School,90.3,57.9,Charter,870334
10260050,Jessica Jackson,11,Green High School,77.3,41.7,Charter,832670
86331421,Heidi Reilly,9,Odonnell High School,62.5,44.8,Public,959474
61178094,Marcus Bell,10,Turner High School,83.6,76.5,Public,956438
115936881,Olivia Vazquez,12,Richard High School,66.2,65.8,Charter,889699
81982846,Amber Garcia,9,Chang High School,54.5,76.3,Charter,840132
63927340,Kendra Mcintosh,11,Green High School,90.0,61.3,Charter,832670
32572140,Michele Johnson,10,Montgomery High School,58.1,79.9,Charter,893368
86320694,Matthew Ellis,11,Green High School,82.2,73.8,Charter,832670
76310342,Ralph Stokes,9,Turner High School,85.4,58.9,Public,956438
91771393,Scott Gomez,9,Wagner High School,76.5,58.3,Public,846745
103118608,Ryan Charles,10,Dixon High School,71.1,93.1,Charter,870334
49891940,Tony Adams,11,Green High School,92.4,53.1,Charter,832670
53285021,Kristina Sullivan,9,Silva High School,70.6,83.0,Public,991918
36119596,Daniel Ingram,11,Wagner High School,66.6,66.3,Public,846745
72600548,Tara Diaz,9,Campos High School,74.1,45.5,Public,957299
64728535,Karen Dougherty,10,Wagner High School,78.7,85.8,Public,846745
54923683,Benjamin Russell,10,Richard High School,60.5,65.2,Charter,889699
64508140,Melissa Wagner,10,Turner High School,94.9,75.3,Public,956438
121123662,Catherine Carney,10,Campbell High School,64.9,75.0,Charter,960726
16337796,Christopher Dean,9,Campos High School,69.3,6.4,Public,957299
109042095,Michael Blake,10,Silva High School,94.9,59.1,Public,991918
40959823,Eric Lane,11,Campbell High School,71.7,70.9,Charter,960726
73841348,Karen Hart,9,Dixon High School,83.5,89.1,Charter,870334
99501455,Brian Hernandez,10,Wagner High School,75.8,77.9,Public,846745
86894214,Jeremiah Smith,10,Dixon High School,59.5,96.4,Charter,870334
99048264,Victor Woods,10,Wagner High School,58.6,51.9,Public,846745
34498785,Michael Gibson,12,Montgomery High School,69.0,70.1,Charter,893368
121308296,Maria Goodwin,11,Turner High School,74.7,52.3,Public,956438
86211842,Amy Thomas,11,Montgomery High School,72.4,53.3,Charter,893368
26114239,James Fitzgerald,10,Fisher High School,88.0,40.7,Public,817615
40215525,Richard Stevenson,9,Green High School,93.7,63.5,Charter,832670
117040173,Paul Winters,9,Dixon High School,88.0,79.0,Charter,870334
47933965,Joseph Johnson,11,Bowers High School,53.6,54.1,Public,848324
53464729,Troy Doyle,10,Dixon High School,88.6,89.4,Charter,870334
29947445,Michael Morgan,9,Turner High School,78.5,53.8,Public,956438
14180136,Jeffrey Vargas,9,Montgomery High School,33.6,72.3,Charter,893368
118657727,Jennifer Gill,10,Campos High School,71.8,60.1,Public,957299
68761530,Danielle Robinson,9,Silva High School,79.8,86.5,Public,991918
106479632,Jacqueline Atkinson,9,Odonnell High School,43.0,59.6,Public,959474
75248486,David Brewer,11,Montgomery High School,91.6,69.9,Charter,893368
94409280,Steven Allen,11,Fisher High School,54.8,53.5,Public,817615
107635019,Todd Cannon,12,Bowers High School,59.1,59.8,Public,848324
60853776,Christina Williams,10,Green High School,98.7,57.3,Charter,832670
114180654,Carlos Johnson,10,Wagner High School,55.1,77.0,Public,846745
76211959,Rebekah Price,10,Silva High School,84.5,64.4,Public,991918
85664513,Kevin Chambers,10,Sullivan High School,90.4,81.5,Public,961125
66165798,Kimberly Gordon,12,Fisher High School,61.5,77.4,Public,817615
87161179,Kevin Barrera,12,Woods High School,95.1,64.9,Public,912243
42389886,Alicia Walker,12,Silva High School,50.6,61.1,Public,991918
74372146,Raymond Hall,10,Campos High School,61.9,80.7,Public,957299
87272246,Catherine Sanders,9,Silva High School,49.4,96.9,Public,991918
102190847,Kevin Smith,9,Campbell High School,79.3,62.4,Charter,960726
40353665,Michael Johnson,11,Bowers High School,97.2,73.0,Public,848324
41212637,Matthew Lewis,10,Dixon High School,81.5,83.2,Charter,870334
17791661,Pamela Gilbert,10,Montgomery High School,77.1,68.1,Charter,893368
114776563,Helen Dodson,10,Silva High School,79.8,51.2,Public,991918
17619099,Jennifer Boone,9,Woods High School,46.0,68.9,Public,912243
31831251,Jonathan Bell,10,Dixon High School,95.3,80.2,Charter,870334
100718823,Stephanie Carter,9,Chang High School,63.9,56.8,Charter,840132
44189783,Jennifer Malone,10,Campos High School,69.1,66.3,Public,957299
102771428,Natalie Burke,9,Campos High School,64.9,42.1,Public,957299
66530501,Calvin Hernandez,9,Dixon High School,61.8,76.0,Charter,870334
113611098,Kimberly Lewis,9,Woods High School,59.5,30.8,Public,912243
69953334,Scott Francis,10,Woods High School,75.8,60.3,Public,912243
63790962,Aaron Becker,10,Green High School,85.6,74.3,Charter,832670
127502326,Brian Mcconnell,9,Campos High School,53.6,39.0,Public,957299
70034022,David Nichols,10,Turner High School,55.4,82.7,Public,956438
92527957,Brian Hawkins,12,Bowers High School,52.5,39.8,Public,848324
34289525,Daniel White,10,Campbell High School,72.4,77.5,Charter,960726
13251477,Daniel Jackson,11,Montgomery High School,78.1,67.2,Charter,893368
53816623,Susan Kennedy,9,Campos High School,58.9,77.9,Public,957299
94849471,Sarah Washington,9,Wagner High School,81.5,69.4,Public,846745
15540720,Stephanie Miller,10,Fisher High School,87.9,59.1,Public,817615
47352216,Elizabeth Espinoza,12,Montgomery High School,69.2,81.3,Charter,893368
69847848,Bradley Sharp,12,Fisher High School,52.2,75.3,Public,817615
26907417,Catherine Bishop,11,Green High School,88.6,78.4,Charter,832670
43925294,James Michael,9,Silva High School,46.3,53.7,Public,991918
110791791,Angela Bennett,10,Richard High School,46.9,77.6,Charter,889699
101195704,Allen Lester,11,Montgomery High School,79.1,61.4,Charter,893368
128444438,Stephen Smith,9,Green High School,66.7,69.5,Charter,832670
118001988,Brian Holmes,11,Montgomery High School,91.6,85.5,Charter,893368
115754186,Kevin Singh,11,Montgomery High School,79.5,63.3,Charter,893368
51346975,Brian Barnes,9,Sullivan High School,84.7,73.4,Public,961125
121096553,Brenda Smith,10,Dixon High School,56.8,56.0,Charter,870334
113840830,Amanda Landry,10,Montgomery High School,99.1,75.7,Charter,893368
25026797,David Rojas,10,Campos High School,78.3,41.7,Public,957299
